,City,Country,Ground
160,puchong,malaysia,Kinrara Academy Oval
161,mombasa,kenya,Mombasa Sports Club Ground
162,mirpur,bangladesh,Shere-e-Bangla Stadium
163,nairobi,kenya,Jaffery Sports Club Ground
164,nairobi,kenya,Ruaraka Sports Club Ground
165,antigua,antigua & barbuda,Sir Vivian Richards Stadium
166,providence,guyana,Providence Stadium
167,glasgow,scotland,Titwood
168,rotterdam,netherlands,Hazelaarweg Stadion
169,king city,canada,Maple Leaf North-West Ground
170,aberdeen,scotland,Mannofield Park
171,dubai,united arab emirates,Dubai International Cricket Stadium (Dubai Sports City Stadium)
172,roseau,dominica,Windsor Park
173,nagpur,india,Vidarbha Cricket Association Stadium (Jamtha)
174,dunedin,new zealand,University Oval
175,voorburg,netherlands,Sportpark Westvliet
176,schiedam,netherlands,Sportpark Thurlede
177,hambantota,sri lanka,Mahinda Rajapaksa International Stadium (Hambantota Cricket Stadium)
178,pallekele,sri lanka,Pallekele International Cricket Stadium
179,whangarei,new zealand,Cobham Oval (New)
180,rajkot,india,Saurashtra Cricket Association Stadium (Khanderi Cricket Stadium)
181,ranchi,india,JSCA International Cricket Stadium
182,dharamshala,india,Himachal Pradesh Cricket Association Stadium
183,dubai,united arab emirates,ICC Global Cricket Academy
184,dublin,ireland,Malahide Cricket Club Ground (The Village)
185,pune,india,Maharashtra Cricket Association Stadium
186,nelson,new zealand,Saxton Oval
187,christchurch,new zealand,Hagley Oval
188,lincoln,new zealand,Bert Sutcliffe Oval
189,mount maunganui,new zealand,Bay Oval
190,pandamaran,malaysia,Bayuemas Oval
191,townsville,australia,Tony Ireland Stadium
192,mong kok,hong kong,Mission Road Ground
193,greater noida,india,Greater Noida Sports Complex Ground
194,port moresby,png,Amini Park
195,perth,australia,Perth Stadium
196,harare,zimbabwe,Old Hararians
197,guwahati,india,Dr. Bhupen Hazarika Cricket Stadium (Barsapara Cricket Stadium)
198,thiruvananthapuram,india,Greenfield International Stadium (Trivandrum University Stadium)
199,sylhet,bangladesh,Sylhet International Cricket Stadium (Sylhet Divisional Stadium)
200,dehradun,india,Rajiv Gandhi International Cricket Stadium
201,windhoek,namibia,Wanderers Cricket Ground
202,windhoek,namibia,Affies Park
203,deventer,netherlands,Sportpark Het Schootsveld
204,magheramason,northern ireland,Bready
205,lauderhill,usa,Central Broward Regional Park
206,lucknow,india,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium (Ekana International Cricket Stadium)
207,muscat,oman,Al Amerat Cricket Stadium (Ministry Turf 1)
208,kirtipur,nepal,Tribhuvan University International Cricket Ground (Kirtipur Cricket Stadium)
