,name,played,run_bat,50s,100s,batted,out,bowled,wkt_tacken,5_wkt_taken,run_given_bowler,econ,over
154,sr watson,67,2883,15,6,67,61,55,69,0,1793,4.63859412978004,366.5
155,cl white,61,1717,11,2,55,46,8,7,0,150,3.0000000000000036,25.4
156,xm marshall,10,87,0,0,10,10,1,0,0,5,0.0390625,0.3
157,ads fletcher,11,201,2,0,11,11,0,0,0,0,0.0,0.0
158,ka pollard,39,808,2,1,36,35,34,33,0,1106,7.000874654945147,198.10000000000002
159,crd fernando,17,48,0,0,10,4,17,21,0,813,4.62401840209961,143.0
160,sarfaraz ahmed,11,80,0,0,8,6,0,0,0,0,0.0,0.0
161,l ronchi,4,76,1,0,2,2,0,0,0,0,0.0,0.0
162,ms gony,1,0,0,0,0,0,1,2,0,65,8.12,8.0
163,pp ojha,15,34,0,0,8,1,14,19,0,566,2.27489990234375,129.1
164,t thushara,30,341,1,0,21,17,30,39,1,1201,5.79604209754616,223.4
165,mansoor amjad,1,5,0,0,1,1,1,1,0,44,5.5,8.0
166,abdur rauf,3,0,0,0,0,0,3,5,0,167,6.675000000000001,27.0
167,saeed ajmal,50,157,0,0,31,16,50,69,0,1761,1.926188138465275,427.59999999999997
168,dj hussey,34,798,6,0,28,26,21,11,0,429,3.8176826810929922,77.0
169,no miller,25,224,1,0,20,12,23,14,0,854,3.2050126481056216,163.9
170,se findlay,6,96,1,0,6,5,0,0,0,0,0.0,0.0
171,v kohli,65,2717,17,8,64,54,16,2,0,248,5.568844451914174,43.4
172,z khan,42,117,0,0,18,17,42,61,0,1819,5.684595180760548,365.8
173,s badrinath,7,79,0,0,6,5,0,0,0,0,0.0,0.0
174,mj prior,40,773,2,0,36,28,0,0,0,0,0.0,0.0
175,a flintoff,12,304,2,0,10,8,12,20,1,435,4.5453466796874995,91.4
176,vd philander,2,33,0,0,2,2,2,0,0,80,6.525,13.0
177,sr patel,17,293,1,0,12,10,16,15,1,594,6.681478271484375,98.5
178,sj harmison,11,24,0,0,3,2,11,9,0,424,5.489765625,76.0
179,sm warnapura,2,30,0,0,2,2,0,0,0,0,0.0,0.0
180,j mubarak,4,81,0,0,4,3,0,0,0,0,0.0,0.0
181,b geeves,2,10,0,0,2,0,2,3,0,78,4.45,15.0
182,nazmul hossain,7,0,0,0,5,3,6,6,0,252,4.8421875,46.0
183,mehrab hossain jnr,2,1,0,0,2,2,0,0,0,0,0.0,0.0
184,naeem islam,31,473,1,0,29,20,28,24,0,943,0.9347582730837166,188.6
185,imrul kayes,34,1010,7,1,34,34,0,0,0,0,0.0,0.0
186,j louw,2,23,0,0,1,1,2,1,0,95,6.07,16.0
187,cs baugh,13,203,0,0,10,8,0,0,0,0,0.0,0.0
188,bp nash,4,26,0,0,4,3,2,0,0,49,2.825,9.0
189,ls baker,8,13,0,0,4,2,8,9,0,326,7.418749999999999,61.0
190,khurram manzoor,6,186,2,0,6,6,0,0,0,0,0.0,0.0
191,mj guptill,45,1244,9,0,45,43,5,2,0,53,3.295727074146271e-06,10.5
192,nt broom,20,309,1,0,20,18,0,0,0,0,0.0,0.0
193,ad mathews,47,1044,7,0,41,30,34,31,1,944,1.1603203906165038,198.0
194,mahbubul alam,2,0,0,0,0,0,2,3,0,67,6.625,10.0
195,rubel hossain,25,30,0,0,12,4,25,31,0,1176,5.207083802819252,195.29999999999998
196,bw hilfenhaus,13,29,0,0,7,3,13,16,0,663,7.0559423828125,115.8
