,winner,toss,ground,strength,bat_strengthA,ball_strengthA,bat_strengthB,ball_strengthB
404,0,1,0,-0.02809,4.22557,2.22929,5.08365,1.87611
405,1,0,2,2.70767,4.86004,2.81835,4.73069,1.10803
406,0,0,1,-1.70222,3.45297,1.77873,5.03505,3.05985
407,0,1,2,-3.94177,2.5732,1.11633,4.95737,5.1567
408,1,0,2,-0.01269,5.32877,2.89477,5.45269,2.84817
409,1,0,0,0.61201,4.29065,3.54749,5.87849,1.89091
410,1,0,1,-0.4868,4.55515,2.47119,5.38521,2.69154
411,0,0,2,1.24008,5.13231,3.73997,5.23184,1.94481
412,1,0,2,1.36734,4.90029,4.0071,4.25294,2.01766
413,0,1,2,-2.21674,2.36107,1.7708,5.01749,3.82838
414,0,0,2,0.60028,3.59866,3.89374,3.25951,2.5036
415,1,0,1,-0.19623,3.95045,2.904,4.64999,2.8117
416,1,0,1,0.16385,4.05252,3.34739,5.30474,2.3176
417,0,0,2,-4.45272,3.68992,0.90406,5.04192,3.28209
418,0,0,2,0.32511,4.02083,4.23946,6.13695,2.26821
419,1,0,2,1.24968,4.49096,2.97756,6.26203,1.33948
420,1,0,2,-2.41794,4.1492,1.54698,4.8607,5.72997
421,0,1,2,0.48471,3.98442,2.92783,4.79717,1.87663
422,0,0,2,-1.50626,5.28317,2.16396,6.34148,3.70945
423,0,1,2,-0.44296,4.9208,3.13403,5.76092,3.52689
424,0,0,0,-0.59228,4.16469,3.25643,5.47667,3.8225
425,0,0,2,-1.07049,3.41104,2.63184,5.20473,3.76035
426,0,0,2,-1.20559,3.80388,2.40634,5.28659,3.83704
427,0,0,2,-0.81566,4.67505,2.37035,5.29131,3.30012
428,0,0,2,-0.5401,2.86813,3.69897,4.78419,3.8075
429,1,0,2,-0.62346,2.57133,3.77056,4.91918,3.77486
430,1,0,2,3.6306,4.28291,3.30906,5.95792,0.78859
431,1,0,2,3.8829,3.96259,3.43556,5.79554,0.71144
432,1,1,2,-4.3029,3.16079,0.9227,4.79461,3.53794
433,0,1,2,-3.57352,3.37966,0.91355,4.20069,3.29831
434,0,0,1,-1.17607,3.01779,1.96568,3.97597,3.56448
435,0,0,1,1.56587,3.15431,1.64218,3.81157,0.81152
436,0,1,1,-1.84521,3.1377,1.64576,4.2936,4.10871
437,1,1,0,-0.02058,4.00982,2.49735,3.93659,2.57747
438,0,1,1,-1.67113,2.87446,1.56867,3.94801,3.39912
439,1,1,1,-1.52516,2.98075,2.57318,5.88776,3.90677
440,0,1,0,-2.0662,2.7897,2.06896,5.42505,5.01821
441,1,1,1,-0.51569,4.56359,3.58094,5.8159,4.11713
442,0,1,0,-0.64045,2.64868,3.35811,4.44693,3.87354
443,1,0,1,0.15106,5.43558,4.06041,5.21825,3.78466
444,0,0,2,-0.98704,3.17553,2.88153,5.46916,3.48587
445,1,1,2,-0.40219,3.31265,3.76903,4.80686,3.79383
446,0,0,0,-1.81882,2.72976,1.96762,5.52759,2.75604
447,0,1,0,-0.91138,3.36613,3.43515,5.60706,4.66946
448,1,0,2,0.27617,3.76494,3.00908,5.22508,1.87068
449,0,1,0,0.09149,3.46929,3.24692,5.08773,2.09191
450,1,1,2,0.15992,3.85395,2.67292,4.18443,2.23364
451,1,0,1,-0.10453,3.46831,1.81815,4.20083,1.57224
452,0,1,2,-3.21452,2.7752,1.2782,5.05961,3.73081
453,0,1,2,-2.1236,2.22086,1.99893,5.43093,3.74309
454,0,1,1,-1.2514,3.89548,2.35634,5.344,3.83214
455,1,1,1,-1.08254,2.69977,1.65243,4.80005,1.48151
456,0,1,2,-3.48854,2.45073,1.23106,5.27839,3.06677
457,0,1,0,-1.05627,3.05195,2.69895,4.70211,4.44937
458,1,0,1,-0.57907,3.76609,3.35712,5.4555,3.60055
459,0,0,2,-2.34949,3.60131,1.84135,6.22466,3.49303
460,1,0,1,-0.64052,3.6541,2.81922,5.15688,3.07411
461,0,0,0,-1.02993,2.58268,3.30005,5.30723,4.46598
462,0,0,0,-4.93261,2.94854,0.77771,4.46145,3.66706
463,1,0,1,2.64588,4.2664,1.86047,5.96673,0.72893
464,1,1,1,2.37328,5.26235,2.03432,6.12884,0.97704
465,1,0,1,-0.54583,4.9932,2.51329,5.66594,2.92246
466,0,1,0,-1.86061,2.73569,2.19085,5.50182,4.20442
467,1,1,1,-1.03497,4.41123,2.42737,5.88112,3.17844
468,0,0,1,-1.24438,3.58354,2.39233,5.12175,3.99715
469,0,1,0,-1.14468,2.9114,2.82287,5.7791,3.22569
470,1,1,1,0.7912,4.24593,2.76477,4.72919,1.6972
471,0,1,1,-3.18027,3.09596,1.35435,5.48769,3.55198
472,1,1,1,1.05559,4.34961,3.90354,4.92056,1.87797
473,1,0,0,-0.8426,3.86926,3.02343,5.3536,4.16898
474,0,1,1,-0.54551,3.63366,2.87962,6.10867,2.30585
475,0,0,0,-1.24498,5.10946,2.40274,5.67007,4.58308
476,1,0,0,-5.85901,5.01128,0.89974,6.05621,5.7465
477,0,1,1,0.7888,3.1984,2.69414,4.26721,1.34801
478,0,0,1,-1.05777,2.12689,2.70293,4.01267,4.98342
479,1,0,0,0.37618,3.33358,3.41358,4.16137,2.0897
480,0,1,0,-0.77672,3.52207,2.70071,5.26188,3.00616
481,1,0,0,-0.41237,3.45377,2.75201,4.55475,2.77927
482,0,0,1,-1.18743,2.34519,2.34022,4.30641,3.59279
483,0,0,0,-0.96832,5.5595,2.33771,6.06524,3.41871
484,0,0,1,-1.55498,2.59031,2.34587,5.00829,4.46636
485,1,0,0,-1.99595,6.03087,1.7436,6.05087,4.09045
486,0,0,0,-2.07462,5.2388,1.7203,5.71825,4.19314
487,0,0,1,-1.50481,3.41539,2.42746,5.63576,4.18111
488,0,1,2,-4.25333,2.84557,1.04313,5.40273,3.07299
489,1,0,2,-0.10477,3.43166,3.09938,4.62247,2.47479
490,1,0,1,5.23136,4.84164,3.01009,5.83837,0.67517
491,0,1,0,-15.76204,2.97697,0.31138,5.26824,2.57275
492,0,1,0,-7.32639,3.22641,0.58562,5.06564,2.43762
493,0,0,1,-0.36375,2.47362,3.25887,3.60327,3.33405
494,1,1,2,-0.13914,2.72903,3.85808,4.17597,2.8932
495,0,0,0,-0.17287,3.92395,3.18604,4.38108,3.26393
496,1,1,2,0.31216,3.58584,4.15511,6.05273,2.02721
497,1,0,2,-3.88052,3.29748,1.09983,5.18116,3.97123
498,1,1,2,0.6476,4.07022,4.28669,5.8552,2.02146
499,0,1,1,-0.92185,2.04237,2.79763,4.48921,2.99118
500,0,1,1,-0.80367,2.4619,2.79501,4.38205,3.22176
501,1,0,0,-0.77754,4.12335,1.78525,4.019,2.79799
502,1,0,1,0.47989,1.96446,3.13341,4.38245,1.04575
503,1,1,1,0.45044,3.70092,3.26438,5.09041,1.84142
504,1,1,2,-1.34063,3.56202,1.73261,3.90537,3.8997
505,0,1,2,-1.32798,2.17329,2.29954,4.19729,4.37025
506,0,0,2,-1.37018,2.93817,2.74021,5.62443,4.30578
507,0,1,2,-1.79357,2.17441,2.09404,4.95562,3.79504
508,1,1,2,-0.67884,4.48326,2.68939,5.495,3.28596
509,0,0,2,-1.5725,2.66484,2.0484,4.52174,4.19693
510,1,0,0,-2.28913,5.55062,1.36489,5.92002,2.70995
511,0,0,1,-1.59608,1.86676,2.28454,4.79167,3.72346
512,0,0,1,-1.86321,1.61099,2.11641,4.85846,3.72569
513,0,0,0,-2.11021,1.62978,1.53851,4.15693,2.75431
514,1,1,1,-1.72047,2.41183,1.90389,4.44075,3.94091
515,1,0,0,-1.93515,1.62832,1.6629,4.01225,3.40895
516,1,1,1,1.21079,3.55366,3.88642,3.64803,1.65328
517,0,1,0,-2.94262,1.94441,1.35542,4.62471,4.14232
518,0,0,1,-1.31454,3.45198,1.81962,4.57779,2.87365
519,1,1,2,-1.50676,3.62912,2.2329,5.38476,4.01097
520,1,0,1,-1.19277,4.217,1.78142,4.73857,2.87414
521,0,1,2,-1.27426,3.67156,2.39556,5.17163,4.15063
522,1,0,0,0.1714,3.53018,2.87386,5.02069,1.84015
523,0,1,0,-3.93566,2.61532,1.09248,4.93083,4.52649
524,0,0,1,1.38285,4.70593,4.36882,5.23789,1.82275
525,0,0,0,-3.46815,3.09637,1.07798,4.6957,3.48736
